Protein.IDs,Intensity.H.F01,Intensity.H.F02,Intensity.H.F03,Intensity.H.F04,Intensity.H.F05,Intensity.H.F06,Intensity.H.F07,Intensity.H.F08,Intensity.H.F09,Intensity.H.F10,Intensity.H.F11,Intensity.H.F12,Intensity.H.F13,Intensity.H.F14,Intensity.H.F15,Intensity.H.F16,Intensity.H.F17,Intensity.H.F18,Intensity.H.F19,Intensity.H.F20,Intensity.H.F21,Intensity.H.F22,Intensity.H.F23,Intensity.H.F24,Intensity.H.F25,Intensity.H.F26,Intensity.H.F27,Intensity.L.F01,Intensity.L.F02,Intensity.L.F03,Intensity.L.F04,Intensity.L.F05,Intensity.L.F06,Intensity.L.F07,Intensity.L.F08,Intensity.L.F09,Intensity.L.F10,Intensity.L.F11,Intensity.L.F12,Intensity.L.F13,Intensity.L.F14,Intensity.L.F15,Intensity.L.F16,Intensity.L.F17,Intensity.L.F18,Intensity.L.F19,Intensity.L.F20,Intensity.L.F21,Intensity.L.F22,Intensity.L.F23,Intensity.L.F24,Intensity.L.F25,Intensity.L.F26,Intensity.L.F27,Intensity.M.F01,Intensity.M.F02,Intensity.M.F03,Intensity.M.F04,Intensity.M.F05,Intensity.M.F06,Intensity.M.F07,Intensity.M.F08,Intensity.M.F09,Intensity.M.F10,Intensity.M.F11,Intensity.M.F12,Intensity.M.F13,Intensity.M.F14,Intensity.M.F15,Intensity.M.F16,Intensity.M.F17,Intensity.M.F18,Intensity.M.F19,Intensity.M.F20,Intensity.M.F21,Intensity.M.F22,Intensity.M.F23,Intensity.M.F24,Intensity.M.F25,Intensity.M.F26,Intensity.M.F27,Percentage.H.F01,Percentage.H.F02,Percentage.H.F03,Percentage.H.F04,Percentage.H.F05,Percentage.H.F06,Percentage.H.F07,Percentage.H.F08,Percentage.H.F09,Percentage.H.F10,Percentage.H.F11,Percentage.H.F12,Percentage.H.F13,Percentage.H.F14,Percentage.H.F15,Percentage.H.F16,Percentage.H.F17,Percentage.H.F18,Percentage.H.F19,Percentage.H.F20,Percentage.H.F21,Percentage.H.F22,Percentage.H.F23,Percentage.H.F24,Percentage.H.F25,Percentage.H.F26,Percentage.H.F27,Percentage.L.F01,Percentage.L.F02,Percentage.L.F03,Percentage.L.F04,Percentage.L.F05,Percentage.L.F06,Percentage.L.F07,Percentage.L.F08,Percentage.L.F09,Percentage.L.F10,Percentage.L.F11,Percentage.L.F12,Percentage.L.F13,Percentage.L.F14,Percentage.L.F15,Percentage.L.F16,Percentage.L.F17,Percentage.L.F18,Percentage.L.F19,Percentage.L.F20,Percentage.L.F21,Percentage.L.F22,Percentage.L.F23,Percentage.L.F24,Percentage.L.F25,Percentage.L.F26,Percentage.L.F27,Percentage.M.F01,Percentage.M.F02,Percentage.M.F03,Percentage.M.F04,Percentage.M.F05,Percentage.M.F06,Percentage.M.F07,Percentage.M.F08,Percentage.M.F09,Percentage.M.F10,Percentage.M.F11,Percentage.M.F12,Percentage.M.F13,Percentage.M.F14,Percentage.M.F15,Percentage.M.F16,Percentage.M.F17,Percentage.M.F18,Percentage.M.F19,Percentage.M.F20,Percentage.M.F21,Percentage.M.F22,Percentage.M.F23,Percentage.M.F24,Percentage.M.F25,Percentage.M.F26,Percentage.M.F27
Q0140,0,0,0,0,0,628735722.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715896030.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673940109.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0020C,3341689066,2908101305,1445873646,522971765.1,392454050.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3577415045,3217948217,1591501075,807994538.1,503836758.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3917865502,4037994179,1664563301,845346002.7,459015514.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388068076,0.337715825,0.167908322,0.060732355,0.045575422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368855275,0.331791855,0.164094342,0.083309609,0.05194892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358621765,0.369617742,0.152365779,0.077378735,0.042015979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0040C,2069459273,1995700329,1269725388,848917117.1,480985585.9,0,35957848.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898815767,2613397287,1360827669,1050061418,499776030.7,0,90307925.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2867935472,2880810814,1461170877,978382829.7,390078907.9,0,41325394.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308840152,0.297832579,0.189490166,0.12668995,0.071780906,0,0.005366246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340508916,0.306982281,0.159849398,0.123345291,0.058706109,0,0.010608006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332718545,0.334212255,0.169515198,0.113505382,0.045254326,0,0.004794294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL003W,2898623964,14685778465,13164270424,20855991651,30815563320,46311880268,50523959592,1.84088E+11,8.07422E+11,6.48562E+11,5.25337E+11,7.97444E+11,1.50011E+12,3.65251E+11,87388403070,48206637606,27695985326,20561107970,6006232427,1718961318,634215317.4,145889508.7,86902467.33,38462817.84,39098616.94,16664016.74,17036932.67,3141063050,16988330408,17736872292,26967894169,39814290102,62484304658,66173581047,2.20397E+11,9.46432E+11,8.45406E+11,5.96012E+11,9.3876E+11,1.68432E+12,4.07719E+11,96079033836,57782534960,33103443186,21987023799,6928941817,1932292786,768467939.4,175041382,108196515.5,42050308.51,46231628.07,19805528.06,20361798.44,3020418916,15454737960,16704907474,24399767391,38737814059,59377017084,61798354798,2.22178E+11,9.54175E+11,8.16243E+11,5.60722E+11,8.66013E+11,1.64403E+12,3.95988E+11,90341237496,54364770952,29092407667,20815933642,6484166711,1752648864,679954740.9,160024963.7,96863970.73,39822245.9,40598988.25,20913060.87,16955813.96,0.000557424,0.002824172,0.002531576,0.004010744,0.005926035,0.008906079,0.009716089,0.035401359,0.155272648,0.124722686,0.101025838,0.153353628,0.288481793,0.070240224,0.016805364,0.009270453,0.00532612,0.003954036,0.001155038,0.000330568,0.000121964,2.81E-05,1.67E-05,7.40E-06,7.52E-06,3.20E-06,3.28E-06,0.00051566,0.00278893,0.002911816,0.004427249,0.006536208,0.010257885,0.010863544,0.036182073,0.155373342,0.138788144,0.097845786,0.154113806,0.276509769,0.066934208,0.015773044,0.009486008,0.005434506,0.003609552,0.001137506,0.000317219,0.000126157,2.87E-05,1.78E-05,6.90E-06,7.59E-06,3.25E-06,3.34E-06,0.000513437,0.002627131,0.002839645,0.004147685,0.00658499,0.010093422,0.010505022,0.037767803,0.16219895,0.138752017,0.095316325,0.147212409,0.279465952,0.067313447,0.015356989,0.009241396,0.00494538,0.003538473,0.001102235,0.00029793,0.000115585,2.72E-05,1.65E-05,6.77E-06,6.90E-06,3.55E-06,2.88E-06
YAL005C,26026718201,21750853832,16563900508,19822248004,22228655664,17688375011,17657793431,25727731351,38714654889,63440141157,1.68331E+11,5.18722E+11,1.37314E+12,6.73454E+11,2.26219E+11,79489955007,44845559534,22214151029,10346989877,2591561845,1003986048,153577914.8,84733148.64,16962863.35,20524399.89,7308916.18,9550376.484,42774962671,30408928385,26883364602,34667148501,36349263123,31471737979,29254790483,41336407074,61957085997,99577928620,2.44916E+11,7.07144E+11,1.87331E+12,9.3272E+11,3.10969E+11,1.07375E+11,57447419686,28272354412,15681638420,3454956053,1341978715,215645776.9,114403121.8,26023051.53,25835174.57,8279783.245,11599975.97,35665781713,28896303021,23227492095,27885448447,30041726449,26708692403,24925650212,39603070335,57244812901,93160563477,2.17589E+11,6.10718E+11,1.62913E+12,8.44633E+11,2.66048E+11,85755855688,47811675660,22876697778,12306918353,3066532101,1251959880,192960974.4,97898737.74,24633636.09,24005941.06,8625349.491,11473791.3,0.007676889,0.006415672,0.004885719,0.005846807,0.006556605,0.005217396,0.005208375,0.007588699,0.011419346,0.018712421,0.049651311,0.15300312,0.405023013,0.198643261,0.066725965,0.023446504,0.013227729,0.006552327,0.003051967,0.000764412,0.000296138,4.53E-05,2.50E-05,5.00E-06,6.05E-06,2.16E-06,2.82E-06,0.009066877,0.006445687,0.005698384,0.007348288,0.007704841,0.006670967,0.006201048,0.008761951,0.013132852,0.021107226,0.051914083,0.149891108,0.397080261,0.197705743,0.065915088,0.022759895,0.012176952,0.005992804,0.003323988,0.000732336,0.000284455,4.57E-05,2.42E-05,5.52E-06,5.48E-06,1.76E-06,2.46E-06,0.008638075,0.006998541,0.005625583,0.006753717,0.007275956,0.006468712,0.006036868,0.009591666,0.013864409,0.022563024,0.052698967,0.147912792,0.394566596,0.204565944,0.064435452,0.020769641,0.01157975,0.005540622,0.002980674,0.000742699,0.000303218,4.67E-05,2.37E-05,5.97E-06,5.81E-06,2.09E-06,2.78E-06
YAL007C,862538426.3,167270738.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970907163.4,297815799.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202029868,249724629.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83757113,0.16242887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765263333,0.234736667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827984256,0.172015744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL012W,2204488637,860615605.9,0,0,125325179.8,0,0,0,84947352.96,118782437.7,0,186627666.7,53115937901,1.09381E+12,5.00992E+11,1.0094E+11,28025333337,7395927370,1938662390,538173194.3,87488909.17,18869631.16,7204552.811,0,808571.1933,0,0,2770115904,1071617692,0,0,144853068.2,0,0,0,79918276.45,114853161.1,0,162878623.1,66238971961,1.39283E+12,6.24184E+11,1.25668E+11,33086909652,9211283304,2182846576,573515808.6,109487176.5,23067220.61,7703476.151,0,827563.2353,0,0,2702217616,810527571.3,0,0,171573425.5,0,0,0,71039257.21,122453388.1,0,161224321.4,60650533964,1.16768E+12,5.65601E+11,1.16889E+11,32271145049,8242059397,2108967928,812087075.4,97722677.43,21392389.43,7523265.041,0,807521.6331,0,0,0.001231248,0.00048067,0,0,7.00E-05,0,0,0,4.74E-05,6.63E-05,0,0.000104235,0.029666244,0.61091324,0.279813306,0.0563766,0.015652673,0.004130764,0.001082779,0.00030058,4.89E-05,1.05E-05,4.02E-06,0,4.52E-07,0,0,0.001226551,0.00047449,0,0,6.41E-05,0,0,0,3.54E-05,5.09E-05,0,7.21E-05,0.029329264,0.616716033,0.276376119,0.055643338,0.014650208,0.004078568,0.00096652,0.000253941,4.85E-05,1.02E-05,3.41E-06,0,3.66E-07,0,0,0.00137979,0.000413867,0,0,8.76E-05,0,0,0,3.63E-05,6.25E-05,0,8.23E-05,0.030969016,0.596236221,0.28880395,0.059685204,0.016478101,0.004208512,0.001076869,0.000414663,4.99E-05,1.09E-05,3.84E-06,0,4.12E-07,0,0
YAL013W,2112806768,2137810567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2204776342,2964179935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2069267470,2147961298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497058804,0.502941196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426541883,0.573458117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49066996,0.50933004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL014C,715914565.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904082972.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774807700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL016W,569348246.5,900586190.3,820914574.4,1171017968,871275191.9,237412122.1,323660842.7,450900969.1,672361956.8,883747318.4,2097465890,9349468496,14908601865,39116111765,24337640124,2025525523,0,398968368.4,71451396.57,22598584.8,1106825.609,0,0,0,0,0,0,476611460,1162891071,875458130.5,1344174301,1243463911,308165622.1,331181682.1,495604631.3,722183909.6,1107131448,2390435175,12832614814,19654649854,56381500942,29753465597,2847212953,0,385263178.9,130452627.1,19345340.25,1736478.391,0,0,0,0,0,0,508604212.8,1006137155,994504089.7,1334058991,1228695885,281341794.2,241735662.7,373363327.1,861264867.1,1052407095,1963211642,10112830609,17653071393,47398537829,28391976488,2146070983,0,377053360.5,103041040.1,25410477.67,886934.1867,0,0,0,0,0,0,0.005737653,0.00907573,0.008272833,0.011801028,0.008780346,0.00239254,0.003261718,0.004543991,0.006775782,0.008906035,0.021137382,0.094220024,0.15024264,0.394195778,0.245264535,0.020412397,0,0.004020636,0.000720057,0.000227739,1.12E-05,0,0,0,0,0,0,0.003598058,0.008778952,0.00660905,0.010147504,0.009387216,0.002326418,0.002500172,0.003741442,0.005451945,0.008358009,0.018045985,0.096876578,0.148377806,0.425637874,0.22461626,0.021494314,0,0.002908447,0.000984819,0.000146043,1.31E-05,0,0,0,0,0,0,0.004382471,0.008669545,0.008569307,0.011495137,0.010587259,0.002424228,0.002082955,0.003217146,0.007421229,0.009068238,0.016916334,0.087138856,0.152110573,0.408417242,0.244644102,0.018491971,0,0.003248942,0.00088787,0.000218954,7.64E-06,0,0,0,0,0,0
