ComplexName,Sysname,Stdname
cytoplasmic ribosomal large subunit,YPL249C-A,RPL36B
cytoplasmic ribosomal large subunit,YPL220W,RPL1A
cytoplasmic ribosomal large subunit,YPL198W,RPL7B
cytoplasmic ribosomal large subunit,YOR312C,RPL20B
cytoplasmic ribosomal large subunit,YOR063W,RPL3
cytoplasmic ribosomal large subunit,YOL127W,RPL25
cytoplasmic ribosomal large subunit,YOL039W,RPP2A
cytoplasmic ribosomal large subunit,YNL301C,RPL18B
cytoplasmic ribosomal large subunit,YNL069C,RPL16B
cytoplasmic ribosomal large subunit,YMR242C,RPL20A
cytoplasmic ribosomal large subunit,YMR194W,RPL36A
cytoplasmic ribosomal large subunit,YMR142C,RPL13B
cytoplasmic ribosomal large subunit,YML073C,RPL6A
cytoplasmic ribosomal large subunit,YLR448W,RPL6B
cytoplasmic ribosomal large subunit,YLR340W,RPP0
cytoplasmic ribosomal large subunit,YLR075W,RPL10
cytoplasmic ribosomal large subunit,YLR029C,RPL15A
cytoplasmic ribosomal large subunit,YLL045C,RPL8B
cytoplasmic ribosomal large subunit,YKL180W,RPL17A
cytoplasmic ribosomal large subunit,YJL177W,RPL17B
cytoplasmic ribosomal large subunit,YIL133C,RPL16A
cytoplasmic ribosomal large subunit,YIL018W,RPL2B
cytoplasmic ribosomal large subunit,YHR141C,RPL42B
cytoplasmic ribosomal large subunit,YHL033C,RPL8A
cytoplasmic ribosomal large subunit,YHL001W,RPL14B
cytoplasmic ribosomal large subunit,YGR085C,RPL11B
cytoplasmic ribosomal large subunit,YGR034W,RPL26B
cytoplasmic ribosomal large subunit,YGL147C,RPL9A
cytoplasmic ribosomal large subunit,YGL135W,RPL1B
cytoplasmic ribosomal large subunit,YGL103W,RPL28
cytoplasmic ribosomal large subunit,YGL076C,RPL7A
cytoplasmic ribosomal large subunit,YGL031C,RPL24A
cytoplasmic ribosomal large subunit,YGL030W,RPL30
cytoplasmic ribosomal large subunit,YFR032C-A,RPL29
cytoplasmic ribosomal large subunit,YFR031C-A,RPL2A
cytoplasmic ribosomal large subunit,YER117W,RPL23B
cytoplasmic ribosomal large subunit,YDR471W,RPL27B
cytoplasmic ribosomal large subunit,YDR418W,RPL12B
cytoplasmic ribosomal large subunit,YDR382W,RPP2B
cytoplasmic ribosomal large subunit,YDR012W,RPL4B
cytoplasmic ribosomal large subunit,YDL136W,RPL35B
cytoplasmic ribosomal large subunit,YDL082W,RPL13A
cytoplasmic ribosomal large subunit,YDL075W,RPL31A
cytoplasmic ribosomal large subunit,YBR191W,RPL21A
cytoplasmic ribosomal large subunit,YBR031W,RPL4A
cytoplasmic ribosomal large subunit,YBL092W,RPL32
cytoplasmic ribosomal large subunit,YBL087C,RPL23A
